Weather,Time of day,Budget,Physicality level,Environment,Group size,Activity
cloudy,evening,medium,1,indoors,3,Museum
cloudy,evening,low,1,outdoors,4+,Stargazing
sunny,evening,medium,3,outdoors,2,Swimming
snowy,afternoon,high,1,indoors,2,Eating out
sunny,afternoon,low,1,outdoors,3,Park
sunny,evening,low,3,outdoors,4+,Surfing
sunny,morning,medium,3,outdoors,1,Hiking
sunny,morning,low,1,outdoors,3,Park
rainy,evening,low,1,outdoors,2,Stargazing
cloudy,afternoon,medium,3,indoors,2,Gym
sunny,morning,medium,2,indoors,4+,Cooking class
snowy,morning,medium,2,indoors,3,Cooking class
sunny,afternoon,medium,1,indoors,2,Karaoke
sunny,evening,low,3,outdoors,2,Beach
snowy,afternoon,high,1,indoors,4+,Eating out
snowy,morning,medium,1,indoors,3,Movie
snowy,morning,low,1,outdoors,3,Stargazing
sunny,evening,low,1,outdoors,3,Picnic
sunny,evening,high,1,indoors,4+,Eating out
sunny,evening,low,1,outdoors,2,Beach
rainy,evening,medium,2,indoors,3,Cooking class
rainy,evening,high,1,indoors,3,Eating out
sunny,evening,low,2,outdoors,4+,Beach
rainy,morning,medium,1,indoors,2,Museum
cloudy,evening,medium,3,outdoors,3,Hiking
cloudy,afternoon,medium,3,indoors,2,Gym
rainy,evening,medium,1,indoors,3,Museum
snowy,morning,medium,3,indoors,1,Gym
cloudy,afternoon,medium,2,indoors,2,Cooking class
rainy,evening,medium,3,indoors,2,Gym
cloudy,morning,medium,3,outdoors,2,Hiking
cloudy,morning,medium,1,indoors,3,Movie
cloudy,morning,medium,1,indoors,3,Movie
sunny,morning,high,1,indoors,3,Eating out
sunny,evening,low,3,outdoors,2,Beach
rainy,afternoon,high,1,indoors,4+,Eating out
snowy,morning,medium,1,indoors,4+,Karaoke
cloudy,evening,medium,2,indoors,4+,Yoga
cloudy,evening,medium,2,indoors,4+,Cooking class
sunny,afternoon,medium,2,indoors,1,Yoga
snowy,afternoon,medium,2,indoors,4+,Cooking class
rainy,morning,medium,1,indoors,3,Karaoke
cloudy,afternoon,low,3,outdoors,2,Biking
cloudy,afternoon,low,1,outdoors,2,Stargazing
snowy,evening,low,1,outdoors,4+,Stargazing
rainy,evening,low,2,outdoors,1,Kite flying
snowy,afternoon,medium,2,indoors,3,Yoga
sunny,morning,medium,2,indoors,4+,Bowling
cloudy,evening,low,1,outdoors,2,Park
sunny,afternoon,low,3,outdoors,4+,Surfing
sunny,afternoon,medium,1,indoors,3,Museum
sunny,evening,medium,1,indoors,4+,Museum
cloudy,evening,high,1,outdoors,3,Concert
cloudy,afternoon,low,3,outdoors,2,Biking
rainy,morning,high,1,indoors,2,Eating out
cloudy,morning,high,1,outdoors,3,Zoo
cloudy,evening,high,1,indoors,3,Eating out
cloudy,morning,medium,1,indoors,3,Comedy
sunny,morning,low,2,outdoors,2,Kite flying
rainy,afternoon,medium,2,indoors,4+,Yoga
sunny,morning,medium,2,indoors,2,Cooking class
snowy,afternoon,medium,1,indoors,2,Karaoke
cloudy,morning,low,1,outdoors,3,Park
rainy,morning,low,1,outdoors,4+,Stargazing
sunny,evening,low,1,indoors,4+,Board games
sunny,evening,low,1,outdoors,2,Stargazing
snowy,afternoon,low,1,outdoors,2,Stargazing
rainy,evening,medium,1,indoors,2,Karaoke
rainy,evening,low,1,indoors,4+,Board games
rainy,evening,medium,1,indoors,3,Movie
rainy,morning,medium,1,indoors,2,Karaoke
cloudy,morning,low,1,outdoors,2,Park
cloudy,evening,high,1,outdoors,4+,Zoo
cloudy,evening,low,1,outdoors,4+,Stargazing
cloudy,morning,medium,1,indoors,3,Museum
rainy,afternoon,medium,1,indoors,4+,Museum
sunny,afternoon,low,3,outdoors,4+,Surfing
sunny,afternoon,medium,2,indoors,2,Yoga
sunny,morning,medium,1,indoors,2,Museum
rainy,morning,medium,1,indoors,4+,Karaoke
cloudy,afternoon,medium,2,indoors,4+,Escape room
cloudy,morning,medium,2,indoors,4+,Bowling
snowy,morning,medium,1,indoors,3,Movie
cloudy,morning,medium,3,outdoors,4+,Hiking
sunny,evening,low,3,outdoors,4+,Surfing
rainy,evening,medium,1,indoors,3,Comedy
sunny,afternoon,medium,2,indoors,4+,Bowling
sunny,afternoon,low,3,outdoors,4+,Surfing
sunny,morning,medium,1,indoors,2,Museum
rainy,afternoon,medium,1,indoors,4+,Museum
cloudy,morning,medium,2,indoors,3,Yoga
sunny,evening,medium,3,outdoors,2,Hiking
sunny,evening,low,2,outdoors,3,Beach
sunny,morning,medium,1,indoors,4+,Museum
sunny,evening,high,1,outdoors,4+,Zoo
snowy,morning,low,1,outdoors,4+,Stargazing
snowy,evening,medium,1,indoors,2,Museum
cloudy,afternoon,medium,2,indoors,4+,Cooking class
cloudy,morning,low,1,outdoors,3,Picnic
cloudy,morning,medium,3,outdoors,2,Hiking
sunny,evening,medium,1,indoors,2,Movie
rainy,evening,medium,1,indoors,2,Comedy
sunny,evening,medium,1,indoors,4+,Comedy
snowy,morning,low,1,outdoors,2,Stargazing
sunny,afternoon,medium,1,indoors,2,Comedy
cloudy,afternoon,medium,3,indoors,2,Gym
rainy,afternoon,low,1,outdoors,1,Stargazing
snowy,evening,medium,2,indoors,2,Yoga
snowy,evening,medium,1,indoors,2,Comedy
rainy,morning,medium,2,indoors,4+,Bowling
snowy,morning,medium,2,indoors,2,Cooking class
rainy,morning,low,2,outdoors,2,Kite flying
rainy,morning,medium,1,indoors,2,Karaoke
sunny,afternoon,low,2,outdoors,1,Kite flying
sunny,evening,high,1,outdoors,2,Concert
sunny,afternoon,medium,2,outdoors,1,Swimming
sunny,evening,medium,2,outdoors,4+,Swimming
snowy,morning,high,1,indoors,2,Eating out
cloudy,evening,medium,3,outdoors,1,Hiking
sunny,evening,low,1,outdoors,4+,Park
snowy,morning,medium,1,indoors,2,Museum
sunny,afternoon,high,1,outdoors,2,Concert
snowy,morning,medium,2,indoors,1,Yoga
rainy,afternoon,medium,2,indoors,4+,Escape room
cloudy,morning,low,1,outdoors,4+,Stargazing
sunny,evening,low,1,outdoors,3,Beach
sunny,morning,low,3,outdoors,4+,Beach
cloudy,evening,low,1,outdoors,3,Stargazing
cloudy,afternoon,medium,2,indoors,4+,Yoga
rainy,afternoon,low,1,indoors,4+,Board games
cloudy,evening,low,1,outdoors,4+,Picnic
rainy,morning,medium,1,indoors,2,Museum
sunny,evening,low,1,indoors,4+,Board games
sunny,afternoon,medium,2,outdoors,3,Swimming
sunny,evening,medium,3,outdoors,2,Swimming
sunny,morning,medium,3,outdoors,2,Swimming
cloudy,afternoon,low,1,outdoors,3,Park
sunny,evening,medium,3,indoors,2,Gym
rainy,afternoon,medium,1,indoors,3,Comedy
sunny,afternoon,medium,3,outdoors,2,Hiking
sunny,morning,low,2,outdoors,2,Kite flying
sunny,afternoon,low,3,outdoors,2,Beach
sunny,morning,low,1,outdoors,4+,Stargazing
rainy,morning,medium,1,indoors,2,Movie
rainy,morning,medium,2,indoors,3,Cooking class
sunny,morning,medium,3,outdoors,2,Swimming
sunny,evening,high,1,indoors,2,Eating out
sunny,afternoon,low,2,outdoors,4+,Beach
sunny,evening,low,3,outdoors,4+,Surfing
sunny,morning,low,2,outdoors,3,Beach
cloudy,afternoon,medium,1,indoors,4+,Comedy
snowy,afternoon,medium,3,indoors,1,Gym
sunny,evening,high,1,indoors,4+,Eating out
cloudy,afternoon,high,1,indoors,4+,Eating out
rainy,evening,low,1,outdoors,3,Stargazing
snowy,morning,medium,2,indoors,4+,Yoga
sunny,morning,high,1,outdoors,2,Zoo
sunny,evening,medium,2,indoors,2,Yoga
snowy,afternoon,medium,1,indoors,3,Karaoke
sunny,afternoon,low,1,outdoors,1,Park
cloudy,afternoon,medium,2,indoors,1,Yoga
rainy,afternoon,low,2,outdoors,2,Kite flying
cloudy,afternoon,medium,3,indoors,2,Gym
snowy,morning,medium,3,indoors,2,Gym
sunny,evening,medium,2,outdoors,3,Swimming
sunny,evening,medium,2,indoors,4+,Yoga
sunny,morning,low,1,outdoors,4+,Picnic
cloudy,afternoon,low,1,outdoors,2,Park
rainy,afternoon,medium,1,indoors,2,Karaoke
rainy,morning,medium,2,indoors,3,Yoga
sunny,evening,low,1,outdoors,1,Stargazing
rainy,evening,low,2,outdoors,2,Kite flying
cloudy,morning,medium,1,indoors,2,Movie
snowy,afternoon,high,3,outdoors,3,Skiing
snowy,morning,medium,2,indoors,4+,Cooking class
snowy,evening,medium,2,indoors,3,Cooking class
cloudy,afternoon,medium,3,outdoors,4+,Hiking
rainy,morning,medium,1,indoors,3,Museum
sunny,afternoon,medium,3,outdoors,1,Hiking
sunny,evening,low,3,outdoors,2,Beach
cloudy,evening,medium,1,indoors,3,Movie
sunny,evening,medium,2,indoors,1,Yoga
sunny,morning,medium,1,indoors,4+,Karaoke
sunny,morning,medium,2,outdoors,3,Swimming
snowy,afternoon,high,3,outdoors,2,Skiing
sunny,afternoon,medium,2,outdoors,1,Swimming
sunny,afternoon,medium,2,indoors,3,Yoga
sunny,morning,medium,1,indoors,3,Karaoke
sunny,afternoon,low,1,outdoors,4+,Park
sunny,morning,medium,1,indoors,4+,Comedy
sunny,evening,low,2,outdoors,3,Beach
rainy,evening,low,1,outdoors,2,Stargazing
sunny,morning,medium,2,outdoors,2,Swimming
cloudy,afternoon,high,1,indoors,4+,Eating out
cloudy,morning,medium,2,indoors,2,Yoga
snowy,morning,low,1,outdoors,2,Stargazing
snowy,morning,medium,2,indoors,2,Yoga
snowy,afternoon,medium,1,indoors,4+,Karaoke
cloudy,afternoon,medium,1,indoors,3,Karaoke
rainy,evening,medium,1,indoors,1,Museum
rainy,evening,medium,2,indoors,4+,Yoga
snowy,afternoon,medium,1,indoors,4+,Comedy
cloudy,afternoon,medium,2,indoors,4+,Escape room
sunny,evening,medium,2,outdoors,2,Swimming
sunny,evening,medium,2,outdoors,3,Swimming
sunny,evening,low,1,outdoors,4+,Picnic
rainy,evening,medium,2,indoors,2,Cooking class
sunny,afternoon,low,1,outdoors,2,Beach
cloudy,morning,medium,2,indoors,4+,Yoga
sunny,morning,high,1,indoors,4+,Eating out
sunny,afternoon,medium,3,outdoors,4+,Hiking
snowy,morning,high,3,outdoors,1,Skiing
sunny,morning,high,1,outdoors,3,Zoo
sunny,afternoon,medium,1,indoors,1,Museum
cloudy,morning,medium,1,indoors,4+,Comedy
sunny,afternoon,low,1,outdoors,2,Stargazing
sunny,evening,medium,1,indoors,3,Karaoke
sunny,morning,medium,2,outdoors,4+,Swimming
cloudy,evening,medium,3,outdoors,1,Hiking
sunny,evening,medium,1,indoors,3,Karaoke
cloudy,afternoon,medium,3,outdoors,3,Hiking
cloudy,evening,low,1,outdoors,1,Stargazing
sunny,evening,low,2,outdoors,2,Kite flying
sunny,afternoon,medium,2,indoors,2,Yoga
rainy,evening,low,1,outdoors,2,Stargazing
sunny,evening,medium,1,indoors,4+,Karaoke
snowy,evening,high,1,indoors,2,Eating out
sunny,evening,low,1,outdoors,4+,Stargazing
sunny,evening,medium,2,indoors,4+,Bowling
rainy,afternoon,medium,1,indoors,3,Museum
snowy,morning,medium,1,indoors,1,Museum
sunny,evening,high,1,outdoors,2,Concert
snowy,evening,medium,1,indoors,2,Movie
rainy,afternoon,medium,3,indoors,1,Gym
rainy,evening,high,1,indoors,2,Eating out
sunny,afternoon,medium,2,indoors,4+,Escape room
snowy,afternoon,medium,1,indoors,4+,Comedy
snowy,evening,high,3,outdoors,1,Skiing
sunny,afternoon,medium,1,indoors,3,Karaoke
rainy,afternoon,medium,1,indoors,3,Movie
cloudy,morning,medium,1,indoors,3,Karaoke
snowy,afternoon,low,1,outdoors,1,Stargazing
cloudy,morning,low,1,outdoors,2,Stargazing
cloudy,afternoon,low,3,outdoors,4+,Hiking
snowy,morning,medium,1,indoors,4+,Karaoke
cloudy,evening,medium,3,outdoors,4+,Hiking
snowy,evening,low,1,outdoors,2,Stargazing
sunny,morning,low,3,outdoors,2,Surfing
snowy,evening,high,3,outdoors,1,Skiing
sunny,morning,low,1,outdoors,4+,Park
sunny,morning,high,1,indoors,4+,Eating out
snowy,afternoon,low,1,outdoors,1,Stargazing
cloudy,morning,medium,1,indoors,2,Movie
sunny,afternoon,medium,2,indoors,4+,Escape room
snowy,morning,high,1,indoors,2,Eating out
sunny,afternoon,low,1,outdoors,3,Stargazing
cloudy,morning,medium,1,indoors,2,Comedy
cloudy,afternoon,low,1,outdoors,2,Park
rainy,evening,medium,1,indoors,2,Karaoke
sunny,afternoon,low,1,outdoors,1,Stargazing
cloudy,evening,low,1,outdoors,2,Stargazing
snowy,evening,high,1,indoors,3,Eating out
cloudy,morning,medium,3,indoors,2,Gym
sunny,afternoon,medium,2,outdoors,1,Swimming
sunny,afternoon,medium,2,indoors,3,Yoga
sunny,morning,medium,2,outdoors,4+,Swimming
sunny,morning,medium,2,outdoors,4+,Swimming
sunny,evening,medium,2,indoors,1,Yoga
snowy,morning,medium,1,indoors,3,Museum
sunny,afternoon,medium,1,indoors,2,Museum
rainy,morning,high,1,indoors,3,Eating out
sunny,evening,low,2,outdoors,1,Kite flying
sunny,afternoon,low,1,outdoors,3,Beach
sunny,afternoon,medium,1,indoors,3,Movie
sunny,morning,high,1,indoors,2,Eating out
sunny,evening,medium,3,indoors,2,Gym
sunny,morning,medium,2,indoors,3,Cooking class
sunny,evening,medium,3,outdoors,2,Hiking
sunny,evening,low,3,outdoors,2,Hiking
sunny,morning,low,1,outdoors,2,Stargazing
sunny,afternoon,medium,1,indoors,1,Museum
sunny,afternoon,high,1,outdoors,4+,Zoo
sunny,afternoon,medium,1,indoors,3,Comedy
sunny,evening,low,2,outdoors,2,Kite flying
cloudy,morning,high,1,outdoors,2,Zoo
sunny,afternoon,low,1,indoors,4+,Board games
snowy,afternoon,high,3,outdoors,2,Skiing
sunny,afternoon,low,3,outdoors,1,Biking
snowy,afternoon,low,1,outdoors,4+,Stargazing
snowy,morning,low,1,outdoors,3,Stargazing
rainy,morning,low,1,outdoors,4+,Stargazing
sunny,afternoon,medium,1,indoors,2,Movie
cloudy,morning,medium,3,outdoors,4+,Hiking
snowy,morning,medium,2,indoors,2,Yoga
cloudy,evening,low,1,outdoors,2,Park
cloudy,evening,low,1,outdoors,3,Picnic
cloudy,evening,medium,1,indoors,4+,Comedy
cloudy,afternoon,high,1,outdoors,2,Zoo
sunny,afternoon,low,3,outdoors,4+,Surfing
sunny,morning,low,3,outdoors,3,Beach
sunny,morning,medium,1,indoors,2,Karaoke
snowy,afternoon,low,1,indoors,4+,Board games
sunny,afternoon,low,1,outdoors,3,Park
cloudy,afternoon,medium,1,indoors,4+,Museum
snowy,morning,medium,1,indoors,4+,Museum
sunny,afternoon,low,3,outdoors,3,Biking
cloudy,morning,high,1,outdoors,4+,Zoo
rainy,morning,low,2,outdoors,2,Kite flying
cloudy,evening,low,1,outdoors,3,Park
snowy,evening,high,1,indoors,2,Eating out
cloudy,afternoon,high,1,outdoors,2,Zoo
rainy,morning,medium,3,indoors,2,Gym
sunny,afternoon,low,3,outdoors,3,Biking
cloudy,morning,medium,1,indoors,4+,Karaoke
sunny,morning,low,1,outdoors,1,Stargazing
snowy,morning,medium,2,indoors,4+,Bowling
snowy,morning,medium,2,indoors,3,Yoga
rainy,evening,medium,1,indoors,1,Museum
sunny,afternoon,low,1,outdoors,1,Stargazing
rainy,evening,medium,2,indoors,4+,Yoga
snowy,afternoon,high,3,outdoors,1,Skiing
snowy,afternoon,high,1,indoors,3,Eating out
sunny,morning,low,3,outdoors,2,Surfing
cloudy,afternoon,medium,2,indoors,4+,Bowling
rainy,afternoon,low,2,outdoors,2,Kite flying
sunny,morning,medium,2,indoors,4+,Cooking class
sunny,morning,low,3,outdoors,4+,Hiking
sunny,evening,low,2,outdoors,1,Kite flying
cloudy,afternoon,low,3,outdoors,2,Biking
snowy,evening,medium,1,indoors,4+,Karaoke
sunny,evening,low,3,outdoors,3,Beach
rainy,afternoon,high,1,indoors,3,Eating out
sunny,afternoon,medium,2,indoors,4+,Bowling
sunny,morning,low,2,outdoors,2,Kite flying
sunny,morning,low,1,outdoors,4+,Beach
sunny,evening,medium,3,outdoors,4+,Hiking
sunny,afternoon,medium,3,indoors,1,Gym
sunny,morning,low,3,outdoors,2,Surfing
rainy,morning,low,1,indoors,4+,Board games
cloudy,morning,high,1,outdoors,3,Concert
rainy,afternoon,medium,2,indoors,4+,Cooking class
cloudy,evening,low,1,outdoors,1,Park
snowy,afternoon,high,3,outdoors,2,Skiing
cloudy,morning,medium,3,outdoors,3,Hiking
rainy,morning,medium,1,indoors,3,Karaoke
sunny,evening,low,1,outdoors,4+,Park
sunny,evening,medium,2,indoors,4+,Bowling
rainy,evening,medium,3,indoors,2,Gym
sunny,morning,low,3,outdoors,4+,Beach
snowy,afternoon,medium,1,indoors,3,Museum
cloudy,afternoon,high,1,outdoors,3,Concert
cloudy,evening,medium,3,indoors,1,Gym
sunny,afternoon,medium,3,outdoors,1,Hiking
cloudy,evening,medium,2,indoors,1,Yoga
cloudy,morning,low,3,outdoors,1,Biking
snowy,evening,low,1,outdoors,4+,Stargazing
sunny,morning,medium,1,indoors,3,Movie
sunny,afternoon,medium,3,outdoors,4+,Swimming
snowy,morning,medium,3,indoors,2,Gym
sunny,evening,medium,1,indoors,3,Museum
rainy,evening,medium,1,indoors,3,Comedy
sunny,morning,low,3,outdoors,3,Surfing
sunny,evening,low,1,outdoors,3,Stargazing
snowy,afternoon,medium,2,indoors,3,Yoga
sunny,evening,medium,2,indoors,4+,Escape room
sunny,evening,low,1,outdoors,4+,Stargazing
sunny,afternoon,low,3,outdoors,2,Biking
sunny,afternoon,medium,3,outdoors,3,Hiking
rainy,morning,medium,1,indoors,4+,Comedy
cloudy,morning,low,1,outdoors,2,Stargazing
snowy,morning,medium,1,indoors,3,Karaoke
cloudy,morning,medium,3,indoors,2,Gym
sunny,morning,medium,1,indoors,3,Museum
cloudy,evening,medium,2,indoors,4+,Cooking class
snowy,evening,medium,1,indoors,3,Museum
sunny,afternoon,low,3,outdoors,3,Biking
rainy,afternoon,medium,2,indoors,3,Yoga
rainy,morning,medium,1,indoors,1,Museum
cloudy,morning,low,1,outdoors,1,Stargazing
sunny,evening,medium,3,outdoors,3,Hiking
sunny,morning,high,1,outdoors,2,Zoo
sunny,morning,medium,3,indoors,1,Gym
sunny,evening,low,3,outdoors,3,Hiking
snowy,afternoon,low,1,outdoors,3,Stargazing
snowy,evening,medium,1,indoors,2,Movie
snowy,evening,high,1,indoors,3,Eating out
rainy,afternoon,medium,1,indoors,4+,Museum
sunny,morning,medium,3,outdoors,1,Hiking
cloudy,evening,low,3,outdoors,1,Biking
cloudy,evening,medium,1,indoors,4+,Karaoke
rainy,afternoon,medium,1,indoors,4+,Comedy
snowy,morning,medium,2,indoors,4+,Bowling
sunny,afternoon,medium,2,outdoors,2,Swimming
cloudy,afternoon,medium,1,indoors,3,Museum
cloudy,morning,medium,1,indoors,2,Comedy
sunny,morning,low,1,outdoors,4+,Stargazing
snowy,evening,high,1,indoors,3,Eating out
sunny,afternoon,low,1,outdoors,3,Picnic
sunny,morning,medium,2,outdoors,2,Swimming
cloudy,morning,low,3,outdoors,2,Biking
cloudy,morning,high,1,indoors,3,Eating out
sunny,afternoon,medium,1,indoors,4+,Karaoke
sunny,afternoon,low,3,outdoors,3,Hiking
cloudy,evening,high,1,outdoors,2,Zoo
sunny,evening,low,3,outdoors,3,Surfing
rainy,evening,medium,2,indoors,4+,Cooking class
cloudy,evening,low,1,outdoors,1,Stargazing
snowy,morning,medium,1,indoors,2,Karaoke
rainy,morning,medium,3,indoors,2,Gym
cloudy,afternoon,medium,1,indoors,3,Museum
cloudy,evening,medium,2,indoors,2,Yoga
sunny,evening,high,1,outdoors,3,Concert
snowy,afternoon,medium,2,indoors,4+,Bowling
sunny,afternoon,medium,1,indoors,2,Comedy
cloudy,afternoon,medium,3,outdoors,3,Hiking
cloudy,evening,low,3,outdoors,1,Biking
sunny,evening,high,1,indoors,2,Eating out
snowy,morning,high,1,indoors,3,Eating out
sunny,morning,medium,2,outdoors,2,Swimming
sunny,afternoon,medium,3,outdoors,1,Swimming
snowy,morning,medium,2,indoors,3,Yoga
sunny,evening,low,1,outdoors,3,Picnic
rainy,morning,medium,1,indoors,4+,Museum
sunny,afternoon,low,2,outdoors,3,Beach
sunny,morning,medium,1,indoors,4+,Comedy
snowy,evening,high,1,indoors,2,Eating out
sunny,afternoon,low,2,outdoors,2,Kite flying
rainy,morning,medium,1,indoors,1,Museum
snowy,morning,medium,1,indoors,2,Karaoke
cloudy,morning,medium,3,outdoors,2,Hiking
rainy,afternoon,medium,1,indoors,2,Comedy
cloudy,morning,medium,1,indoors,4+,Museum
snowy,afternoon,low,1,outdoors,3,Stargazing
cloudy,afternoon,high,1,outdoors,3,Zoo
cloudy,morning,medium,3,indoors,1,Gym
rainy,evening,medium,3,indoors,1,Gym
sunny,afternoon,medium,1,indoors,3,Karaoke
rainy,evening,medium,3,indoors,2,Gym
snowy,morning,medium,2,indoors,3,Yoga
snowy,morning,medium,1,indoors,2,Museum
snowy,afternoon,low,1,outdoors,1,Stargazing
snowy,evening,medium,1,indoors,4+,Museum
cloudy,afternoon,medium,1,indoors,3,Movie
cloudy,evening,low,3,outdoors,2,Biking
cloudy,evening,medium,3,outdoors,3,Hiking
sunny,afternoon,medium,3,outdoors,1,Hiking
cloudy,afternoon,medium,1,indoors,4+,Karaoke
snowy,evening,medium,2,indoors,4+,Cooking class
sunny,morning,low,1,outdoors,4+,Stargazing
rainy,evening,medium,2,indoors,3,Yoga
sunny,afternoon,medium,3,outdoors,1,Swimming
cloudy,afternoon,low,3,outdoors,4+,Hiking
cloudy,afternoon,low,3,outdoors,1,Biking
rainy,morning,medium,3,indoors,2,Gym
sunny,afternoon,low,1,outdoors,3,Beach
cloudy,morning,high,1,outdoors,4+,Zoo
cloudy,evening,high,1,outdoors,4+,Concert
rainy,afternoon,medium,1,indoors,4+,Karaoke
snowy,afternoon,low,1,outdoors,4+,Stargazing
snowy,morning,medium,1,indoors,2,Karaoke
sunny,morning,low,2,outdoors,4+,Beach
snowy,evening,high,1,indoors,4+,Eating out
rainy,evening,medium,1,indoors,2,Comedy
sunny,morning,medium,3,outdoors,4+,Swimming
sunny,morning,low,3,outdoors,4+,Hiking
snowy,evening,medium,1,indoors,4+,Museum
cloudy,afternoon,high,1,outdoors,2,Concert
sunny,evening,medium,1,indoors,4+,Karaoke
cloudy,evening,medium,3,indoors,2,Gym
snowy,afternoon,medium,1,indoors,2,Comedy
sunny,afternoon,low,2,outdoors,2,Kite flying
snowy,afternoon,medium,2,indoors,4+,Yoga
sunny,morning,low,3,outdoors,1,Surfing
sunny,morning,medium,2,indoors,4+,Cooking class
cloudy,afternoon,medium,1,indoors,3,Museum
snowy,afternoon,low,1,outdoors,4+,Stargazing
sunny,afternoon,medium,3,outdoors,4+,Swimming
snowy,morning,medium,2,indoors,4+,Cooking class
sunny,afternoon,low,3,outdoors,2,Biking
rainy,morning,medium,1,indoors,2,Comedy
sunny,evening,medium,3,outdoors,2,Hiking
rainy,afternoon,medium,2,indoors,3,Yoga
sunny,morning,high,1,indoors,4+,Eating out
rainy,evening,medium,2,indoors,3,Cooking class
sunny,morning,low,1,outdoors,3,Picnic
snowy,afternoon,medium,1,indoors,3,Karaoke
snowy,evening,medium,1,indoors,3,Movie
rainy,afternoon,low,1,indoors,4+,Board games
sunny,morning,low,1,outdoors,3,Picnic
sunny,morning,medium,3,outdoors,3,Swimming
sunny,afternoon,medium,1,indoors,3,Comedy
snowy,morning,high,3,outdoors,4+,Skiing
sunny,morning,low,3,outdoors,3,Beach
sunny,evening,medium,1,indoors,3,Karaoke
snowy,morning,medium,1,indoors,3,Comedy
rainy,afternoon,high,1,indoors,3,Eating out
sunny,morning,low,3,outdoors,2,Biking
sunny,morning,medium,1,indoors,4+,Comedy
snowy,afternoon,medium,2,indoors,3,Cooking class
sunny,afternoon,medium,3,indoors,1,Gym
sunny,afternoon,medium,3,indoors,2,Gym
snowy,afternoon,medium,2,indoors,4+,Yoga
sunny,evening,medium,1,indoors,4+,Museum
cloudy,evening,medium,2,indoors,4+,Escape room
cloudy,afternoon,high,1,indoors,4+,Eating out
sunny,afternoon,medium,1,indoors,3,Karaoke
sunny,evening,low,3,outdoors,3,Hiking
sunny,morning,medium,2,indoors,2,Yoga
rainy,afternoon,medium,3,indoors,2,Gym
cloudy,evening,low,3,outdoors,2,Biking
rainy,morning,low,1,outdoors,2,Stargazing
sunny,afternoon,high,1,outdoors,3,Concert
cloudy,evening,low,3,outdoors,2,Hiking
cloudy,morning,high,1,indoors,3,Eating out
snowy,evening,high,1,indoors,3,Eating out
cloudy,afternoon,low,3,outdoors,3,Biking
cloudy,evening,low,3,outdoors,3,Biking
sunny,morning,medium,2,indoors,2,Yoga
snowy,morning,medium,2,indoors,3,Yoga
sunny,evening,low,1,outdoors,2,Beach
sunny,afternoon,low,3,outdoors,1,Biking
rainy,evening,medium,1,indoors,2,Museum
sunny,evening,medium,1,indoors,2,Museum
cloudy,morning,medium,1,indoors,4+,Comedy
cloudy,evening,low,1,outdoors,4+,Picnic
sunny,afternoon,high,1,outdoors,4+,Concert
sunny,evening,medium,1,indoors,4+,Karaoke
cloudy,evening,high,1,outdoors,3,Zoo
sunny,evening,low,3,outdoors,3,Surfing
sunny,afternoon,high,1,indoors,4+,Eating out
cloudy,morning,medium,2,indoors,1,Yoga
sunny,morning,medium,1,indoors,2,Karaoke
sunny,evening,low,1,outdoors,1,Stargazing
sunny,evening,medium,1,indoors,2,Museum
sunny,afternoon,medium,3,outdoors,2,Swimming
snowy,evening,medium,1,indoors,2,Museum
cloudy,evening,medium,1,indoors,3,Comedy
sunny,morning,low,3,outdoors,3,Hiking
sunny,evening,medium,2,outdoors,1,Swimming
rainy,afternoon,high,1,indoors,4+,Eating out
sunny,afternoon,low,1,outdoors,4+,Picnic
sunny,afternoon,low,1,outdoors,2,Stargazing
sunny,evening,medium,1,indoors,4+,Karaoke
sunny,morning,medium,3,indoors,1,Gym
sunny,afternoon,high,1,indoors,3,Eating out
snowy,evening,medium,2,indoors,1,Yoga
cloudy,afternoon,low,3,outdoors,3,Hiking
cloudy,afternoon,low,1,outdoors,1,Stargazing
cloudy,morning,high,1,indoors,3,Eating out
snowy,evening,medium,2,indoors,4+,Yoga
snowy,evening,medium,2,indoors,4+,Bowling
cloudy,morning,low,1,outdoors,2,Park
rainy,evening,high,1,indoors,4+,Eating out
cloudy,afternoon,medium,2,indoors,4+,Bowling
sunny,afternoon,medium,2,indoors,4+,Escape room
snowy,afternoon,medium,1,indoors,3,Comedy
cloudy,evening,low,3,outdoors,1,Hiking
cloudy,evening,medium,1,indoors,3,Museum
cloudy,morning,low,3,outdoors,2,Biking
cloudy,evening,medium,3,indoors,2,Gym
sunny,morning,medium,1,indoors,4+,Museum
sunny,morning,low,1,outdoors,3,Park
sunny,evening,high,1,indoors,2,Eating out
sunny,morning,medium,1,indoors,1,Museum
cloudy,afternoon,low,1,outdoors,2,Park
cloudy,evening,medium,2,indoors,2,Yoga
rainy,morning,high,1,indoors,3,Eating out
sunny,evening,medium,3,outdoors,2,Swimming
cloudy,morning,high,1,outdoors,4+,Concert
cloudy,evening,medium,2,indoors,2,Cooking class
sunny,evening,medium,1,indoors,3,Comedy
sunny,evening,low,1,outdoors,1,Stargazing
cloudy,afternoon,high,1,outdoors,2,Zoo
snowy,afternoon,low,1,indoors,4+,Board games
sunny,morning,medium,3,outdoors,2,Swimming
snowy,evening,high,1,indoors,4+,Eating out
rainy,afternoon,medium,1,indoors,4+,Comedy
rainy,afternoon,low,1,indoors,4+,Board games
sunny,afternoon,medium,2,outdoors,1,Swimming
